Component,Chemical Formula,salt,property_type,Concentration,Temperature,Property,"Property
Value",Concentration 2
Component 1,Na2SO4,Na2SO4,water_activity,,,,,
,,Na2SO4,water_activity,mol/kg H2O,°C,-,,
,,Na2SO4,water_activity,0.1000,25.0000,,0.9958,
,,Na2SO4,water_activity,0.2000,25.0000,,0.9922,
,,Na2SO4,water_activity,0.4000,25.0000,,0.9849,
,,Na2SO4,water_activity,0.6000,25.0000,,0.9779,
,,Na2SO4,water_activity,0.8000,25.0000,,0.9714,
,,Na2SO4,water_activity,1.0000,25.0000,,0.9653,
,,Na2SO4,water_activity,1.5000,25.0000,,0.9500,
,,Na2SO4,water_activity,1.9641,25.0000,,0.9363,
Component 1,Na2SO4,Na2SO4,water_activity,,,,,
,,Na2SO4,water_activity,mol/kg H2O,°C,-,,
,,Na2SO4,water_activity,1.4270,20.8300,,0.8680,
,,Na2SO4,water_activity,1.9530,25.0200,,0.8600,
,,Na2SO4,water_activity,2.5520,28.4600,,0.8640,
,,Na2SO4,water_activity,3.2830,50.5500,,0.8880,
,,Na2SO4,water_activity,3.3710,42.8800,,0.8860,
,,Na2SO4,water_activity,3.4730,32.3800,,0.8640,
,,Na2SO4,water_activity,3.4730,35.0200,,0.8700,
Component 1,Na2SO4,Na2SO4,water_activity,,,,,
,,Na2SO4,water_activity,Wt. %,°C,-,,
,,Na2SO4,water_activity,12.0000,27.5000,,0.9668,
,,Na2SO4,water_activity,15.9700,27.5000,,0.9552,
,,Na2SO4,water_activity,17.9900,27.5000,,0.9489,
,,Na2SO4,water_activity,19.9900,27.5000,,0.9421,
,,Na2SO4,water_activity,21.9900,27.5000,,0.9348,
,,Na2SO4,water_activity,23.9900,27.5000,,0.9265,
Component 1,Na2SO4,Na2SO4,water_activity,,,,,
,,Na2SO4,water_activity,mol/kg H2O,°C,-,,
,,Na2SO4,water_activity,0.1000,25.0000,,0.9957,
,,Na2SO4,water_activity,0.2000,25.0000,,0.9920,
,,Na2SO4,water_activity,0.3000,25.0000,,0.9882,
,,Na2SO4,water_activity,0.4000,25.0000,,0.9848,
,,Na2SO4,water_activity,0.5000,25.0000,,0.9815,
,,Na2SO4,water_activity,0.6000,25.0000,,0.9781,
,,Na2SO4,water_activity,0.7000,25.0000,,0.9749,
,,Na2SO4,water_activity,0.8000,25.0000,,0.9718,
,,Na2SO4,water_activity,1.0000,25.0000,,0.9660,
,,Na2SO4,water_activity,1.5000,25.0000,,0.9500,
,,Na2SO4,water_activity,2.0000,25.0000,,0.9350,
,,Na2SO4,water_activity,2.5000,25.0000,,0.9180,
,,Na2SO4,water_activity,3.0000,25.0000,,0.8990,
Component 1,LiClO4,LiCl,water_activity,,,,,
,,LiCl,water_activity,mol/kg H2O,°C,-,,
,,LiCl,water_activity,0.7000,0.0000,,0.9510,
,,LiCl,water_activity,1.2700,0.0000,,0.9160,
,,LiCl,water_activity,1.2700,50.0000,,0.9270,
,,LiCl,water_activity,1.8700,0.0000,,0.8890,
,,LiCl,water_activity,2.7100,0.0000,,0.8480,
,,LiCl,water_activity,3.3000,50.0000,,0.8400,
,,LiCl,water_activity,3.4200,0.0000,,0.8120,
,,LiCl,water_activity,3.5600,50.0000,,0.8310,
,,LiCl,water_activity,3.9200,50.0000,,0.8080,
,,LiCl,water_activity,4.0600,0.0000,,0.7710,
,,LiCl,water_activity,4.7500,50.0000,,0.7480,
Component 1,LiCl,LiCl,water_activity,,,,,
,,LiCl,water_activity,mol/kg H2O,°C,-,,
,,LiCl,water_activity,0.1004,25.0000,,0.9990,
,,LiCl,water_activity,0.2185,25.0000,,0.9950,
,,LiCl,water_activity,0.4040,25.0000,,0.9890,
,,LiCl,water_activity,0.6082,25.0000,,0.9830,
,,LiCl,water_activity,0.8142,25.0000,,0.9750,
,,LiCl,water_activity,1.0216,25.0000,,0.9680,
,,LiCl,water_activity,1.5471,25.0000,,0.9430,
,,LiCl,water_activity,2.0845,25.0000,,0.9160,
,,LiCl,water_activity,2.6327,25.0000,,0.8890,
,,LiCl,water_activity,3.1940,25.0000,,0.8580,
,,LiCl,water_activity,3.7687,25.0000,,0.8250,
,,LiCl,water_activity,4.3576,25.0000,,0.7910,
,,LiCl,water_activity,4.9582,25.0000,,0.7450,
,,LiCl,water_activity,5.5749,25.0000,,0.6970,
,,LiCl,water_activity,6.2074,25.0000,,0.6570,
,,LiCl,water_activity,6.8567,25.0000,,0.6130,
,,LiCl,water_activity,7.5199,25.0000,,0.5620,
,,LiCl,water_activity,8.2002,25.0000,,0.5170,
,,LiCl,water_activity,9.6109,25.0000,,0.4320,
,,LiCl,water_activity,11.0955,25.0000,,0.3390,
,,LiCl,water_activity,12.6577,25.0000,,0.2690,
,,LiCl,water_activity,14.3221,25.0000,,0.2140,
,,LiCl,water_activity,16.0508,25.0000,,0.1680,
,,LiCl,water_activity,17.8635,25.0000,,0.1350,
,,LiCl,water_activity,19.2186,25.0000,,0.1170,
Component 1,LiCl,LiCl,water_activity,,,,,
,,LiCl,water_activity,mol/kg H2O,°C,-,,
,,LiCl,water_activity,5.5752,140.0000,,0.7507,
,,LiCl,water_activity,5.9965,140.0000,,0.7270,
,,LiCl,water_activity,6.7260,140.0000,,0.6852,
,,LiCl,water_activity,7.3154,140.0000,,0.6529,
,,LiCl,water_activity,7.6589,140.0000,,0.6333,
,,LiCl,water_activity,7.9166,140.0000,,0.6198,
,,LiCl,water_activity,8.1137,140.0000,,0.6099,
,,LiCl,water_activity,8.3404,140.0000,,0.5984,
,,LiCl,water_activity,8.7392,140.0000,,0.5769,
,,LiCl,water_activity,8.7565,140.0000,,0.5765,
,,LiCl,water_activity,9.2812,140.0000,,0.5507,
,,LiCl,water_activity,9.9555,140.0000,,0.5168,
,,LiCl,water_activity,10.3628,140.0000,,0.4979,
,,LiCl,water_activity,11.6407,140.0000,,0.4423,
,,LiCl,water_activity,13.1287,140.0000,,0.3858,
,,LiCl,water_activity,14.3774,140.0000,,0.3451,
,,LiCl,water_activity,16.0626,140.0000,,0.3000,
,,LiCl,water_activity,18.8313,140.0000,,0.2424,
,,LiCl,water_activity,21.0143,140.0000,,0.2080,
,,LiCl,water_activity,25.7051,140.0000,,0.1486,
Component 1,LiOH,LiOH,water_activity,,,,,
,,LiOH,water_activity,Mol H2O/mol salts,°C,-,,
,,LiOH,water_activity,10.8300,0.0000,,0.8420,
,,LiOH,water_activity,10.8300,10.0000,,0.8410,
,,LiOH,water_activity,13.3000,0.0000,,0.8720,
,,LiOH,water_activity,13.3000,10.0000,,0.8720,
,,LiOH,water_activity,17.1000,0.0000,,0.9020,
,,LiOH,water_activity,17.1000,10.0000,,0.9010,
,,LiOH,water_activity,23.3700,0.0000,,0.9280,
,,LiOH,water_activity,23.3700,10.0000,,0.9280,
,,LiOH,water_activity,44.5200,0.0000,,0.9630,
,,LiOH,water_activity,44.5200,10.0000,,0.9630,
Component 1,NaBr,NaBr,water_activity,,,,,
,,NaBr,water_activity,mol/kg H2O,°C,-,,
,,NaBr,water_activity,0.1000,25.0000,,0.9970,
,,NaBr,water_activity,0.2000,25.0000,,0.9940,
,,NaBr,water_activity,0.4000,25.0000,,0.9870,
,,NaBr,water_activity,0.6000,25.0000,,0.9810,
,,NaBr,water_activity,0.8000,25.0000,,0.9740,
,,NaBr,water_activity,1.0000,25.0000,,0.9670,
,,NaBr,water_activity,1.5000,25.0000,,0.9500,
,,NaBr,water_activity,2.0000,25.0000,,0.9320,
,,NaBr,water_activity,2.5000,25.0000,,0.9120,
,,NaBr,water_activity,3.0000,25.0000,,0.8920,
,,NaBr,water_activity,3.5000,25.0000,,0.8700,
,,NaBr,water_activity,4.0000,25.0000,,0.8480,
,,NaBr,water_activity,4.5000,25.0000,,0.8210,
,,NaBr,water_activity,5.0000,25.0000,,0.7950,
,,NaBr,water_activity,5.5000,25.0000,,0.7680,
,,NaBr,water_activity,6.0000,25.0000,,0.7410,
,,NaBr,water_activity,6.5000,25.0000,,0.7130,
,,NaBr,water_activity,7.0000,25.0000,,0.6820,
,,NaBr,water_activity,7.5000,25.0000,,0.6560,
,,NaBr,water_activity,8.0000,25.0000,,0.6270,
,,NaBr,water_activity,8.5000,25.0000,,0.5990,
,,NaBr,water_activity,9.0000,25.0000,,0.5720,
,,NaBr,water_activity,9.1310,25.0000,,0.5650,
Component 1,KCl,KCl,water_activity,,,,,
,,KCl,water_activity,mol/kg H2O,°C,-,,
,,KCl,water_activity,4.6640,21.4200,,0.8480,
,,KCl,water_activity,4.8490,25.6200,,0.8410,
,,KCl,water_activity,4.9260,27.5600,,0.8420,
,,KCl,water_activity,5.1780,33.6400,,0.8300,
,,KCl,water_activity,5.4020,39.3100,,0.8200,
,,KCl,water_activity,5.5760,44.0300,,0.8140,
Component 1,KCl,KCl,water_activity,,,,,
,,KCl,water_activity,mol/kg H2O,°C,-,,
,,KCl,water_activity,0.2500,25.0000,,0.9920,
,,KCl,water_activity,0.3750,25.0000,,0.9880,
,,KCl,water_activity,0.7500,25.0000,,0.9770,
,,KCl,water_activity,1.0000,25.0000,,0.9690,
,,KCl,water_activity,2.0270,25.0000,,0.9370,
,,KCl,water_activity,3.0010,25.0000,,0.9060,
,,KCl,water_activity,4.0150,25.0000,,0.8720,
,,KCl,water_activity,4.8100,25.0000,,0.8440,
Component 1,KCl,KCl,water_activity,,,,,
,,KCl,water_activity,mol/kg H2O,°C,-,,
,,KCl,water_activity,0.2000,25.0000,,0.9930,
,,KCl,water_activity,0.4000,25.0000,,0.9880,
,,KCl,water_activity,0.6000,25.0000,,0.9810,
,,KCl,water_activity,0.8000,25.0000,,0.9750,
,,KCl,water_activity,1.0000,25.0000,,0.9690,
,,KCl,water_activity,1.5000,25.0000,,0.9520,
,,KCl,water_activity,2.0000,25.0000,,0.9360,
,,KCl,water_activity,2.5000,25.0000,,0.9210,
,,KCl,water_activity,3.0000,25.0000,,0.9050,
,,KCl,water_activity,3.5000,25.0000,,0.8880,
,,KCl,water_activity,4.0000,25.0000,,0.8710,
,,KCl,water_activity,4.8100,25.0000,,0.8430,
Component 1,Na2CO3,Na2CO3,water_activity,,,,,
,,Na2CO3,water_activity,mol/kg H2O,°C,-,,
,,Na2CO3,water_activity,0.0456,25.0000,,0.9981,
,,Na2CO3,water_activity,0.1045,25.0000,,0.9953,
,,Na2CO3,water_activity,0.3948,25.0000,,0.9840,
,,Na2CO3,water_activity,0.7825,25.0000,,0.9713,
,,Na2CO3,water_activity,1.0517,25.0000,,0.9617,
,,Na2CO3,water_activity,1.3973,25.0000,,0.9503,
,,Na2CO3,water_activity,1.7503,25.0000,,0.9385,
,,Na2CO3,water_activity,1.7592,25.0000,,0.9368,
,,Na2CO3,water_activity,2.1326,25.0000,,0.9242,
,,Na2CO3,water_activity,2.2634,25.0000,,0.9184,
,,Na2CO3,water_activity,2.4372,25.0000,,0.9111,
,,Na2CO3,water_activity,2.5914,25.0000,,0.9057,
,,Na2CO3,water_activity,2.6093,25.0000,,0.9040,
,,Na2CO3,water_activity,2.7282,25.0000,,0.9003,
Component 1,Na2CO3,Na2CO3,water_activity,,,,,
,,Na2CO3,water_activity,mol/kg H2O,°C,-,,
,,Na2CO3,water_activity,0.1009,65.0000,,0.9960,
,,Na2CO3,water_activity,0.1009,80.0000,,0.9950,
,,Na2CO3,water_activity,0.1009,95.0000,,0.9950,
,,Na2CO3,water_activity,0.1507,65.0000,,0.9930,
,,Na2CO3,water_activity,0.1507,80.0000,,0.9920,
,,Na2CO3,water_activity,0.1507,95.0000,,0.9930,
,,Na2CO3,water_activity,0.1999,65.0000,,0.9910,
,,Na2CO3,water_activity,0.1999,80.0000,,0.9900,
,,Na2CO3,water_activity,0.1999,95.0000,,0.9910,
,,Na2CO3,water_activity,0.4013,65.0000,,0.9830,
,,Na2CO3,water_activity,0.4013,80.0000,,0.9830,
,,Na2CO3,water_activity,0.5017,65.0000,,0.9790,
,,Na2CO3,water_activity,0.5017,80.0000,,0.9790,
,,Na2CO3,water_activity,0.5017,95.0000,,0.9760,
,,Na2CO3,water_activity,0.5994,65.0000,,0.9750,
,,Na2CO3,water_activity,0.5994,80.0000,,0.9760,
,,Na2CO3,water_activity,0.6934,65.0000,,0.9710,
,,Na2CO3,water_activity,0.8046,65.0000,,0.9670,
,,Na2CO3,water_activity,0.8046,80.0000,,0.9690,
,,Na2CO3,water_activity,0.8046,95.0000,,0.9680,
,,Na2CO3,water_activity,1.0010,65.0000,,0.9610,
,,Na2CO3,water_activity,1.0010,80.0000,,0.9630,
,,Na2CO3,water_activity,1.0010,95.0000,,0.9620,
,,Na2CO3,water_activity,1.1460,65.0000,,0.9560,
,,Na2CO3,water_activity,1.1460,80.0000,,0.9580,
,,Na2CO3,water_activity,1.1460,95.0000,,0.9580,
,,Na2CO3,water_activity,1.4440,65.0000,,0.9450,
,,Na2CO3,water_activity,1.4440,80.0000,,0.9500,
,,Na2CO3,water_activity,1.4440,95.0000,,0.9490,
,,Na2CO3,water_activity,1.5190,65.0000,,0.9420,
,,Na2CO3,water_activity,1.5190,80.0000,,0.9480,
,,Na2CO3,water_activity,1.5190,95.0000,,0.9470,
,,Na2CO3,water_activity,2.0110,65.0000,,0.9260,
,,Na2CO3,water_activity,2.0110,80.0000,,0.9310,
,,Na2CO3,water_activity,2.0110,95.0000,,0.9300,
,,Na2CO3,water_activity,2.5200,65.0000,,0.9050,
,,Na2CO3,water_activity,2.5200,80.0000,,0.9120,
,,Na2CO3,water_activity,2.5200,95.0000,,0.9120,
Component 1,NaCl,NaCl,water_activity,,,,,
,,NaCl,water_activity,mol/kg H2O,°C,-,,
,,NaCl,water_activity,6.1300,20.4200,,0.7500,
,,NaCl,water_activity,6.1480,25.4900,,0.7510,
,,NaCl,water_activity,6.1670,29.9600,,0.7500,
,,NaCl,water_activity,6.2010,36.9200,,0.7480,
,,NaCl,water_activity,6.2200,40.5500,,0.7470,
,,NaCl,water_activity,6.2770,50.0000,,0.7440,
Component 1,NaCl,NaCl,water_activity,,,,,
,,NaCl,water_activity,mol/kg H2O,°C,-,,
,,NaCl,water_activity,0.2000,25.0000,,0.9920,
,,NaCl,water_activity,0.4000,25.0000,,0.9870,
,,NaCl,water_activity,0.6000,25.0000,,0.9800,
,,NaCl,water_activity,0.8000,25.0000,,0.9740,
,,NaCl,water_activity,1.0000,25.0000,,0.9690,
,,NaCl,water_activity,1.5000,25.0000,,0.9490,
,,NaCl,water_activity,2.0000,25.0000,,0.9300,
,,NaCl,water_activity,2.5000,25.0000,,0.9140,
,,NaCl,water_activity,3.0000,25.0000,,0.8940,
,,NaCl,water_activity,3.5000,25.0000,,0.8680,
,,NaCl,water_activity,4.0000,25.0000,,0.8500,
,,NaCl,water_activity,4.5000,25.0000,,0.8280,
,,NaCl,water_activity,5.0000,25.0000,,0.8030,
,,NaCl,water_activity,5.5000,25.0000,,0.7820,
,,NaCl,water_activity,6.0000,25.0000,,0.7580,
,,NaCl,water_activity,6.1380,25.0000,,0.7040,
Component 1,NaCl,NaCl,water_activity,,,,,
,,NaCl,water_activity,mol/kg H2O,°C,-,,
,,NaCl,water_activity,6.7547,140.0000,,0.7507,
Component 1,NaCl,NaCl,water_activity,,,,,
,,NaCl,water_activity,mol/kg H2O,°C,-,,
,,NaCl,water_activity,4.0400,25.0000,,0.8495,
,,NaCl,water_activity,4.9100,25.0000,,0.8103,
,,NaCl,water_activity,5.8600,25.0000,,0.7662,
Component 1,LiNO3,LiNO3,water_activity,,,,,
,,LiNO3,water_activity,Wt. %,Kelvin,-,,
,,LiNO3,water_activity,9.8740,303.1500,,0.9560,
,,LiNO3,water_activity,9.8740,313.1500,,0.9546,
,,LiNO3,water_activity,9.8740,323.1500,,0.9474,
,,LiNO3,water_activity,9.8740,333.1500,,0.9464,
,,LiNO3,water_activity,9.8740,343.1500,,0.9478,
,,LiNO3,water_activity,9.8740,353.1500,,0.9509,
,,LiNO3,water_activity,9.8740,363.1500,,0.9514,
,,LiNO3,water_activity,9.8740,373.1500,,0.9593,
,,LiNO3,water_activity,14.8400,303.1500,,0.9065,
,,LiNO3,water_activity,14.8400,313.1500,,0.9072,
,,LiNO3,water_activity,14.8400,323.1500,,0.9020,
,,LiNO3,water_activity,14.8400,333.1500,,0.9028,
,,LiNO3,water_activity,14.8400,343.1500,,0.9032,
,,LiNO3,water_activity,14.8400,353.1500,,0.9045,
,,LiNO3,water_activity,14.8400,363.1500,,0.9084,
,,LiNO3,water_activity,14.8400,373.1500,,0.9218,
,,LiNO3,water_activity,20.2750,303.1500,,0.8736,
,,LiNO3,water_activity,20.2750,313.1500,,0.8666,
,,LiNO3,water_activity,20.2750,323.1500,,0.8615,
,,LiNO3,water_activity,20.2750,333.1500,,0.8566,
,,LiNO3,water_activity,20.2750,343.1500,,0.8526,
,,LiNO3,water_activity,20.2750,353.1500,,0.8557,
,,LiNO3,water_activity,20.2750,363.1500,,0.8609,
,,LiNO3,water_activity,20.2750,373.1500,,0.8590,
,,LiNO3,water_activity,27.6470,303.1500,,0.7747,
,,LiNO3,water_activity,27.6470,313.1500,,0.7678,
,,LiNO3,water_activity,27.6470,323.1500,,0.7692,
,,LiNO3,water_activity,27.6470,333.1500,,0.7669,
,,LiNO3,water_activity,27.6470,343.1500,,0.7702,
,,LiNO3,water_activity,27.6470,353.1500,,0.7728,
,,LiNO3,water_activity,27.6470,363.1500,,0.7751,
,,LiNO3,water_activity,27.6470,373.1500,,0.7761,
,,LiNO3,water_activity,30.2250,303.1500,,0.7346,
,,LiNO3,water_activity,30.2250,313.1500,,0.7312,
,,LiNO3,water_activity,30.2250,323.1500,,0.7312,
,,LiNO3,water_activity,30.2250,333.1500,,0.7293,
,,LiNO3,water_activity,30.2250,343.1500,,0.7314,
,,LiNO3,water_activity,30.2250,353.1500,,0.7342,
,,LiNO3,water_activity,30.2250,363.1500,,0.7390,
,,LiNO3,water_activity,30.2250,373.1500,,0.7402,
,,LiNO3,water_activity,39.9800,303.1500,,0.5981,
,,LiNO3,water_activity,39.9800,313.1500,,0.5999,
,,LiNO3,water_activity,39.9800,323.1500,,0.5984,
,,LiNO3,water_activity,39.9800,333.1500,,0.5985,
,,LiNO3,water_activity,39.9800,343.1500,,0.6013,
,,LiNO3,water_activity,39.9800,353.1500,,0.6043,
,,LiNO3,water_activity,39.9800,363.1500,,0.6091,
,,LiNO3,water_activity,39.9800,373.1500,,0.6148,
,,LiNO3,water_activity,49.5000,303.1500,,0.4262,
,,LiNO3,water_activity,49.5000,313.1500,,0.4265,
,,LiNO3,water_activity,49.5000,323.1500,,0.4340,
,,LiNO3,water_activity,49.5000,333.1500,,0.4326,
,,LiNO3,water_activity,49.5000,343.1500,,0.4385,
,,LiNO3,water_activity,49.5000,353.1500,,0.4406,
,,LiNO3,water_activity,49.5000,363.1500,,0.4504,
,,LiNO3,water_activity,49.5000,373.1500,,0.4612,
,,LiNO3,water_activity,54.8400,313.1500,,0.3453,
,,LiNO3,water_activity,54.8400,323.1500,,0.3506,
,,LiNO3,water_activity,54.8400,333.1500,,0.3584,
,,LiNO3,water_activity,54.8400,343.1500,,0.3647,
,,LiNO3,water_activity,54.8400,353.1500,,0.3735,
,,LiNO3,water_activity,54.8400,363.1500,,0.3807,
,,LiNO3,water_activity,54.8400,373.1500,,0.3944,
Component 1,LiNO3,LiNO3,water_activity,,,,,
,,LiNO3,water_activity,mol/kg H2O,°C,-,,
,,LiNO3,water_activity,0.1006,25.0000,,0.9970,
,,LiNO3,water_activity,0.2018,25.0000,,0.9930,
,,LiNO3,water_activity,0.4059,25.0000,,0.9860,
,,LiNO3,water_activity,0.6126,25.0000,,0.9790,
,,LiNO3,water_activity,0.8219,25.0000,,0.9710,
,,LiNO3,water_activity,1.0339,25.0000,,0.9630,
,,LiNO3,water_activity,2.1115,25.0000,,0.9190,
,,LiNO3,water_activity,3.3106,25.0000,,0.8640,
,,LiNO3,water_activity,4.5706,25.0000,,0.8010,
,,LiNO3,water_activity,5.9276,25.0000,,0.7360,
,,LiNO3,water_activity,7.3940,25.0000,,0.6670,
,,LiNO3,water_activity,8.9836,25.0000,,0.5970,
,,LiNO3,water_activity,10.7055,25.0000,,0.5410,
,,LiNO3,water_activity,11.8331,25.0000,,0.4780,
,,LiNO3,water_activity,12.8639,25.0000,,0.4420,
Component 1,Na2SO4,Na2SO4,osmotic_coeff,,,,,
,,Na2SO4,osmotic_coeff,mol/kg H2O,°C,-,,
,,Na2SO4,osmotic_coeff,0.5000,20.0000,,0.6988,
,,Na2SO4,osmotic_coeff,0.5000,25.0000,,0.7032,
,,Na2SO4,osmotic_coeff,1.0000,20.0000,,0.6344,
,,Na2SO4,osmotic_coeff,1.0000,25.0000,,0.6485,
,,Na2SO4,osmotic_coeff,1.5000,20.0000,,0.6159,
,,Na2SO4,osmotic_coeff,1.5000,25.0000,,0.6283,
,,Na2SO4,osmotic_coeff,2.0000,20.0000,,0.6157,
,,Na2SO4,osmotic_coeff,2.0000,25.0000,,0.6275,
,,Na2SO4,osmotic_coeff,2.5000,20.0000,,0.6310,
,,Na2SO4,osmotic_coeff,2.5000,25.0000,,0.6421,
,,Na2SO4,osmotic_coeff,3.0000,25.0000,,0.6678,
Component 1,Na2SO4,Na2SO4,osmotic_coeff,,,,,
,,Na2SO4,osmotic_coeff,mol/kg H2O,°C,-,,
,,Na2SO4,osmotic_coeff,0.1000,0.0000,,0.7790,
,,Na2SO4,osmotic_coeff,0.2000,0.0000,,0.7290,
,,Na2SO4,osmotic_coeff,0.3000,0.0000,,0.6960,
,,Na2SO4,osmotic_coeff,0.4000,0.0000,,0.6710,
,,Na2SO4,osmotic_coeff,0.5000,0.0000,,0.6490,
,,Na2SO4,osmotic_coeff,0.6000,0.0000,,0.6290,
,,Na2SO4,osmotic_coeff,0.7000,0.0000,,0.6120,
,,Na2SO4,osmotic_coeff,0.8000,0.0000,,0.5980,
,,Na2SO4,osmotic_coeff,0.9000,0.0000,,0.5870,
,,Na2SO4,osmotic_coeff,1.0000,0.0000,,0.5780,
,,Na2SO4,osmotic_coeff,1.5000,0.0000,,0.5520,
Component 1,Na2SO4,Na2SO4,osmotic_coeff,,,,,
,,Na2SO4,osmotic_coeff,mol/kg H2O,°C,-,,
,,Na2SO4,osmotic_coeff,0.7000,80.0000,,0.6869,
,,Na2SO4,osmotic_coeff,0.8000,80.0000,,0.6806,
,,Na2SO4,osmotic_coeff,0.9000,80.0000,,0.6750,
,,Na2SO4,osmotic_coeff,1.0000,80.0000,,0.6701,
,,Na2SO4,osmotic_coeff,1.1000,80.0000,,0.6660,
,,Na2SO4,osmotic_coeff,1.2000,80.0000,,0.6625,
,,Na2SO4,osmotic_coeff,1.3000,80.0000,,0.6597,
,,Na2SO4,osmotic_coeff,1.4000,80.0000,,0.6574,
,,Na2SO4,osmotic_coeff,1.5000,80.0000,,0.6556,
,,Na2SO4,osmotic_coeff,1.6000,80.0000,,0.6543,
,,Na2SO4,osmotic_coeff,1.7000,80.0000,,0.6535,
,,Na2SO4,osmotic_coeff,1.8000,80.0000,,0.6531,
,,Na2SO4,osmotic_coeff,1.9000,80.0000,,0.6530,
,,Na2SO4,osmotic_coeff,2.0000,80.0000,,0.6532,
,,Na2SO4,osmotic_coeff,2.1000,80.0000,,0.6537,
,,Na2SO4,osmotic_coeff,2.2000,80.0000,,0.6544,
,,Na2SO4,osmotic_coeff,2.3000,80.0000,,0.6553,
,,Na2SO4,osmotic_coeff,2.4000,80.0000,,0.6563,
,,Na2SO4,osmotic_coeff,2.5000,80.0000,,0.6574,
,,Na2SO4,osmotic_coeff,2.6000,80.0000,,0.6586,
,,Na2SO4,osmotic_coeff,2.7000,80.0000,,0.6598,
,,Na2SO4,osmotic_coeff,2.8000,80.0000,,0.6609,
,,Na2SO4,osmotic_coeff,2.9000,80.0000,,0.6619,
,,Na2SO4,osmotic_coeff,3.0000,80.0000,,0.6628,
Component 1,Na2SO4,Na2SO4,osmotic_coeff,,,,,
,,Na2SO4,osmotic_coeff,mol/kg H2O,°C,-,,
,,Na2SO4,osmotic_coeff,0.5460,15.0000,,0.6150,
,,Na2SO4,osmotic_coeff,0.5870,25.0000,,0.6980,
,,Na2SO4,osmotic_coeff,0.7050,15.0000,,0.6020,
,,Na2SO4,osmotic_coeff,0.7270,25.0000,,0.7610,
,,Na2SO4,osmotic_coeff,0.8770,15.0000,,0.5680,
,,Na2SO4,osmotic_coeff,0.9380,25.0000,,0.7960,
Component 1,Na2SO4,Na2SO4,osmotic_coeff,,,,,
,,Na2SO4,osmotic_coeff,mol/kg H2O,°C,-,,
,,Na2SO4,osmotic_coeff,0.1000,15.0000,,0.7900,
,,Na2SO4,osmotic_coeff,0.2000,15.0000,,0.7480,
,,Na2SO4,osmotic_coeff,0.3000,15.0000,,0.7180,
,,Na2SO4,osmotic_coeff,0.4000,15.0000,,0.6950,
,,Na2SO4,osmotic_coeff,0.5000,15.0000,,0.6760,
,,Na2SO4,osmotic_coeff,0.6000,15.0000,,0.6620,
,,Na2SO4,osmotic_coeff,0.7000,15.0000,,0.6480,
,,Na2SO4,osmotic_coeff,0.8000,15.0000,,0.6380,
,,Na2SO4,osmotic_coeff,0.9000,15.0000,,0.6280,
,,Na2SO4,osmotic_coeff,1.0000,15.0000,,0.6220,
,,Na2SO4,osmotic_coeff,1.5000,15.0000,,0.6000,
,,Na2SO4,osmotic_coeff,2.0000,15.0000,,0.6000,
,,Na2SO4,osmotic_coeff,2.5000,15.0000,,0.6180,
,,Na2SO4,osmotic_coeff,3.0000,15.0000,,0.6480,
Component 1,Na2SO4,Na2SO4,osmotic_coeff,,,,,
,,Na2SO4,osmotic_coeff,mol/kg H2O,°C,-,,
,,Na2SO4,osmotic_coeff,0.9600,25.0000,,0.6520,
,,Na2SO4,osmotic_coeff,1.3380,25.0000,,0.6350,
,,Na2SO4,osmotic_coeff,1.5444,25.0000,,0.6280,
,,Na2SO4,osmotic_coeff,1.7590,25.0000,,0.6270,
,,Na2SO4,osmotic_coeff,1.9846,25.0000,,0.6290,
,,Na2SO4,osmotic_coeff,2.2220,25.0000,,0.6360,
Component 1,Na2SO4,Na2SO4,osmotic_coeff,,,,,
,,Na2SO4,osmotic_coeff,mol/kg H2O,°C,-,,
,,Na2SO4,osmotic_coeff,0.6276,25.0000,,0.6771,
,,Na2SO4,osmotic_coeff,0.6817,25.0000,,0.6706,
,,Na2SO4,osmotic_coeff,0.7496,25.0000,,0.6638,
,,Na2SO4,osmotic_coeff,0.8140,25.0000,,0.6578,
,,Na2SO4,osmotic_coeff,0.8943,25.0000,,0.6511,
,,Na2SO4,osmotic_coeff,0.9914,25.0000,,0.6451,
,,Na2SO4,osmotic_coeff,1.1144,25.0000,,0.6378,
,,Na2SO4,osmotic_coeff,1.2387,25.0000,,0.6320,
,,Na2SO4,osmotic_coeff,1.3562,25.0000,,0.6280,
,,Na2SO4,osmotic_coeff,1.4528,25.0000,,0.6249,
,,Na2SO4,osmotic_coeff,1.5775,25.0000,,0.6231,
,,Na2SO4,osmotic_coeff,1.6411,25.0000,,0.6233,
,,Na2SO4,osmotic_coeff,1.7364,25.0000,,0.6223,
,,Na2SO4,osmotic_coeff,1.7505,25.0000,,0.6254,
,,Na2SO4,osmotic_coeff,1.8608,25.0000,,0.6254,
,,Na2SO4,osmotic_coeff,1.9221,25.0000,,0.6234,
,,Na2SO4,osmotic_coeff,1.9526,25.0000,,0.6254,
,,Na2SO4,osmotic_coeff,1.9611,25.0000,,0.6255,
,,Na2SO4,osmotic_coeff,2.0094,25.0000,,0.6262,
,,Na2SO4,osmotic_coeff,2.1719,25.0000,,0.6290,
,,Na2SO4,osmotic_coeff,2.2153,25.0000,,0.6306,
,,Na2SO4,osmotic_coeff,2.2495,25.0000,,0.6313,
